Country,Job Title,Gender,Quantity,Percentage
Estonia,Unemployed,Female,4,22.222
Estonia,Unemployed,Male,4,22.222
Finland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,0.885
Finland,Automatic Data Processing Planner (ADP Planner),Female,1,0.885
Finland,Clinical Data Management Manager (CDM Manager),Female,1,0.885
Finland,Computer or Data Processing Systems Consultant,Female,1,0.885
Finland,Computer or Data Processing Systems Consultant,Male,1,0.885
Finland,Data Administrator,Male,1,0.885
Finland,Data Analysis Assistant,Male,1,0.885
Finland,Data Architect,Female,1,0.885
Finland,Data Collection Technician,Male,1,0.885
Finland,Data Communications Analyst,Female,1,0.885
Finland,Data Coordinator,Female,2,1.77
Finland,Data Coordinator,Male,1,0.885
Finland,Data Entry Representative,Male,1,0.885
Finland,Data Management Information Technology Specialist,Female,1,0.885
Finland,Data Manager,Male,1,0.885
Finland,Data Modeling Specialist,Female,2,1.77
Finland,Data Officer,Female,1,0.885
Finland,Data Officer,Male,2,1.77
Finland,Data Operations Director,Male,1,0.885
Finland,Data Processing Auditor,Male,2,1.77
Finland,Data Processing Consultant,Female,1,0.885
Finland,Data Processing Manager,Male,1,0.885
Finland,Data Processing Mechanic,Male,1,0.885
Finland,Data Processing Systems Analyst,Male,1,0.885
Finland,Data Reduction Technician,Female,1,0.885
Finland,Data Reduction Technician,Male,1,0.885
Finland,Data Scientist,Male,1,0.885
Finland,Data Security Analyst,Male,1,0.885
Finland,Data Storage Specialist,Female,1,0.885
Finland,Data Transcriber,Female,1,0.885
Finland,Data Warehouse Developer,Male,1,0.885
Finland,Data Warehousing Engineer,Male,1,0.885
Finland,Data Warehousing Manager,Male,1,0.885
Finland,Data Warehousing Specialist,Female,1,0.885
Finland,Database Administration Associate,Female,1,0.885
Finland,Database Administration Manager,Female,1,0.885
Finland,Database Administration Manager,Male,2,1.77
Finland,Database Consultant,Female,1,0.885
Finland,Database Coordinator,Male,1,0.885
Finland,Database Development Project Manager,Female,1,0.885
Finland,Database Development and Administration Project Manager,Male,1,0.885
Finland,Database Manager,Female,1,0.885
Finland,Database Marketing Analyst,Male,3,2.655
Finland,Database Software Technician,Male,2,1.77
Finland,Database Specialist,Male,1,0.885
Finland,Database Tester,Female,1,0.885
Finland,Database Tester,Male,1,0.885
Finland,Databases Computer Consultant,Female,1,0.885
Finland,Databases Computer Consultant,Male,1,0.885
Finland,Databases Software Consultant,Male,1,0.885
Finland,Datastage Developer,Female,1,0.885
Finland,Director of Data Operations,Male,2,1.77
Finland,Electronic Data Processing Auditor (EDP Auditor),Male,2,1.77
Finland,Field Artillery Automated Tactical Data System Specialist,Male,1,0.885
Finland,Geographic Information Systems Data Administrator (GIS Data Administrator),Female,2,1.77
Finland,Geographic Information Systems Data Manager (GIS Data Manager),Female,1,0.885
Finland,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,1,0.885
Finland,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,2,1.77
Finland,Internet Database Specialist,Male,1,0.885
Finland,Naval Tactical Data System--Combat Information Center Officer,Female,1,0.885
Finland,Oracle Database Administrator (Oracle DBA),Female,1,0.885
Finland,Oracle Database Administrator (Oracle DBA),Male,1,0.885
Finland,SCADA Technician (Supervisory Control and Data Acquisition Technician),Female,1,0.885
Finland,Unemployed,Female,24,21.239
Finland,Unemployed,Male,14,12.389
France,Analytical Data Miner,Female,1,0.08
France,Analytical Data Miner,Male,1,0.08
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Female,1,0.08
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,10,0.801
France,Automatic Data Processing Planner,Female,6,0.481
France,Automatic Data Processing Planner,Male,7,0.561
France,Automatic Data Processing Planner (ADP Planner),Female,4,0.321
France,Automatic Data Processing Planner (ADP Planner),Male,5,0.401
